Index,Blog_name,Blog Details,Blog Author,Related_images
11,Guide to Balance Diet,"<p>
Balanced diet is a key to stay healthy. Follow the ""Healthy Eating Food Pyramid"" guide as you pick your food. Grains should be taken as the major dietary source. Eat more fruit and vegetables. Have a moderate amount of meat, fish, egg, milk and their alternatives. Reduce salt, fat/ oil and sugar. Trim fat from meat before cooking. Choose low-fat cooking methods such as steaming, stewing, simmering, boiling, scalding or cooking with non-stick frying pans. Also reduce the use of frying and deep-frying. These can help us achieve balanced diet and promote health.
</p>
 
<p>
 Eat the Right Food-
Since different foods have different nutritional values, it is not possible to obtain all the nutrients we need from a single food. According to the Healthy Eating Food Pyramid, we have to eat a variety of foods among all food groups as well as within each group in order to get different nutrients and meet our daily needs.
</p>
<p> 
Eat the Right Amount-
Neither eating too much nor too little is good for our health. Every day, we need a specific amount of nutrients to maintain optimal health. If we do not eat enough, under-nutrition and symptoms of deficiency are likely to develop; while over-nutrition and obesity can be resulted when we consume an excessive amount of any type of food. Therefore, we have to eat right amount of food to stay healthy.</p>
 
 
<p>Healthy Eating Food Pyramid..
Eat Most - Grains,
Eat More - Vegetables and fruits,
Eat Moderately - Meat, fish, egg and alternatives (including dry beans) and milk and alternatives,
Eat Less - Fat/ oil, salt and sugar,
Drink adequate amount of fluid (including water, tea, clear soup, etc) every day</p>
 
<p>Healthy Eating Food Pyramid for Children (aged 2 to 5)...
Grains: 1.5 - 3 bowls,
Vegetables: at least 1.5 servings,
Fruits: at least 1 serving,
Meat, fish, egg and alternatives: 1.5 - 3 taels,
Milk and alternatives: 2 servings,
Fat/oil, salt and sugar: eat the least,
Fluid: 4 - 5 glasses</p>
 
<p>Healthy Eating Food Pyramid for Children (aged 6 to 11)....
Grains: 3 - 4 bowls,
Vegetables: at least 2 servings,
Fruits: at least 2 servings,
Meat, fish, egg and alternatives: 3 - 5 taels,
Milk and alternatives: 2 servings,
Fat/oil, salt and sugar: eat the least,
Fluid: 6 - 8 glasses</p>
 
<p>Healthy Eating Food Pyramid for Teenagers (aged 12 to 17)..
Grains: 4 - 6 bowls,
Vegetables: at least 3 servings,
Fruits: at least 2 servings,
Meat, fish, egg and alternatives: 4 - 6 taels,
Milk and alternatives: 2 servings,
Fat/oil, salt and sugar: eat the least,
Fluid: 6 - 8 glasses</p>
 
<p>Healthy Eating Food Pyramid for Adults...
Grains: 3 - 8 bowls,
Vegetables: at least 3 servings,
Fruits: at least 2 servings,
Meat, fish, egg and alternatives: 5 - 8 taels,
Milk and alternatives: 1 - 2 servings
Fat/oil, salt and sugar: eat the least,
Fluid: 6 - 8 glasses</p>
 
<p>Healthy Eating Food Pyramid for Elderly....
Grains: 3 - 5 bowls,
Vegetables: at least 3 servings,
Fruits: at least 2 servings,
Meat, fish, egg and alternatives: 5 - 6 taels,
Milk and alternatives: 1 - 2 servings,
Fat/oil, salt and sugar: eat the least,
Fluid: 6 - 8 glasses</p>
",PickUp Limes,Blogs/11.jpg
12,Healthcare  With Self-Care,"<p>When Dr. Reena Kotecha found herself having a panic attack in the cereal aisle of a supermarket, she knew something was wrong. As a doctor, she was used to diagnosing and treating others, but when it came to herself, she found that she had “a personal blind spot.”“As a healthcare professional you hold this identity of: I am the caregiver, not the caretaker. I’m meant to be the ‘strong one’—the one who’s got it all figured out,” she says.</p>

<p>The Importance of Self-Care-
By chance, she met a woman who became her meditation teacher, and from there everything began to shift. “When I first sat down with her, I just cried for the first 20 minutes,” she recounts. “And while most people would ask, ‘what’s wrong with you?’ she just said, ‘Shall we take a few breaths?’ And, you know, in those moments, I felt a little lighter.”</p>

<p>In medical school, Dr. Kotecha learned about the human body, but she wasn’t taught an important lesson: how to listen to it.
“I was trained in anatomy and physiology and pharmacology and looking after others. But no one ever trained me, or suggested that it would be important, to look after myself in the process,” Dr. Kotecha says. So, with the belief that “health care starts with self-care,” Dr. Kotecha started Mindful Medics, a training program that promotes health and well-being, and professional productivity and engagement through mindfulness, compassion, emotional intelligence, medicine, and neuroscience.</p>

<p>You Are Not Alone-
“I know what it’s like to feel so lonely and so isolated and so dejected—caring for others while feeling like you are running out of capacity—which has been exacerbated by the pandemic,” Dr. Kotecha says. “The support that healthcare professionals need is not just physical PPE, but mental and emotional support as well. Mindful Medics helps provide skillful space for healthcare professionals to share and reflect on what they’ve seen throughout the day and have someone just listen or guide them through a practice to find some calm. This is what drives me—supporting healthcare professionals so that they’re able to not just do their best work, but show up with optimal mental and emotional health.</p>",OYINDA LAGUNJU,Blogs/12.jpg
13,Anxiety,"
<p>Anxiety describes the emotion of fear, which occurs on a spectrum that ranges from mildly nervous or worried to the extremes of feeling completely panicked. Anxiety can be normal when it is situational, meaning it occurs in response to a specific situation and goes away on its own when the situation is resolved.Fear is not a “rational” emotion, so even normal anxiety sometimes seems like an overreaction, but frequent anxiety that is excessive or unexplainable is abnormal. The symptoms of anxiety disorders vary depending on the type, but experiencing worried, racing or catastrophic thoughts are common, and increased irritability, restlessness, and nervous energy are as well. Many people experience physical symptoms when they become anxious including increases in their heart rate, blood pressure and respiration.</p>

<p>Most symptoms of anxiety are a direct result of a normal chain reaction called the “fight or flight” response that involves the brain, nervous system, and body. A part of the brain called the amygdala is largely responsible for beginning this chain reaction, acting as a threat detector that cues the nervous system to activate. Once activated, the nervous system releases stress hormones and adrenaline into the bloodstream, causing physiological changes like increased heart rate, respiration, heightened awareness and a surge of energy.At one point in history, the fight or flight response helped humans survive in a world filled with external threats, but in today’s world, most of the “threats” that activate fight or flight are not external ones that people can run from or physically fight off. Because the amygdala hasn’t evolved a lot, it isn’t great at distinguishing between real and imagined threats and is prone to “false alarms.” People who struggle with anxiety disorders often experience more false alarms than others which could be a result of being more predisposed to anxiety by any number of biologic, environmental, social, and psychological factors.</p>


<p>Types of Anxiety Disorders-
Anxiety disorders describe a category of mental health conditions that share common symptoms, but have different patterns of onset, duration, and frequency. Many anxiety disorders are distinguished by the specific events and circumstances that trigger the symptoms or “false alarms” described above.</p>

<p>Some of the more common types of anxiety disorders include:

Generalized anxiety disorder (GAD): Symptoms of anxiety triggered by a wide range of circumstances, or sometimes for unknown reasons.
Social anxiety disorder: Symptoms of anxiety which occur in specific social interactions or settings where a person is afraid of being judged or rejected.
Specific phobias: Intense symptoms of anxiety triggered by a specific thing (i.e. fear of spiders), situations (i.e. heights), or activities (i.e. public speaking).
Panic disorder: An anxiety disorder characterized by panic attacks and intense fear about the possibility of future attacks.
Anxiety disorders related to an underlying health issue or are related to the effects of a prescribed or illicit substance
Separation Anxiety which primarily affects children (but can happen in adults) and is characterized by extreme anxiety when separated from loved ones (usually caregivers)
Unspecified Anxiety Disorders which includes some symptoms of anxiety that do not match other known anxiety disorders but do cause significant distress or impairment.
Obsessive compulsive disorder (OCD): Not technically an anxiety disorder, but characterized by high levels of anxiety, intrusive thoughts, and ritualistic behavior
Post-traumatic stress disorder (PTSD): Not an anxiety disorder, but involves symptoms of anxiety, avoidance, mood problems, and recurrent memories following a traumatic experience</p>",Haliey Sharif,Blogs/13.jpg
14,Obesity,"<p>What Is Obesity?
To a layman, obesity means merely someone who is very fat, and this must be so because they eat a lot, don’t exercise and so on. However, this is not always the case. Obesity is a health condition in which an individual has accumulated too much body fat, and this fat has adverse effects on their health.</p>

<p>How Does One Determine If They Are ‘Obese’?
If an individual’s weight is 20% higher than the normal range, then this person is ‘obese.’ Also, when checking the BMI or the body mass index, if the individual’s BMI is between 25 and 29.9, they are known to be overweight. But if one’s BMI is 30 or crosses this mark, they fall into the obese category.</p>

<p>Importance Of BMI To Measure Obesity Health Risks?
BMI or the body mass index is a measurement, statistically derived by checking one’s weight and height. While it is an excellent way to estimate a healthy body weight, it does not let on the body fat percentage.Further, the BMI can be misleading too.</p>

<p>Obesity Health Risks On The Increase-
While one may argue on many accounts of being overweight or obese, the truth is that obesity is a huge health risk and it increasingly has become a concern for us Indians. As per research, it is said that by 2025, India will have the second-largest obese population in the world, i.e., 17 million people in the obese category, second only to China. Even after knowing these statistics and being aware enough of the health conditions, Obesity is on the increase.</p>

<p>Here Are Ten Things To Know About Obesity Health Risks:
What is worst is that Obesity affects children too. Childhood obesity will result in obesity in adulthood, and these individuals will be prone to various health issues as well.
As a significant health risk, obesity makes people susceptible to cardiovascular diseases, high blood pressure, stroke, type 2 diabetes, respiratory problems, gallbladder issues and even types of cancer.
Being obese is a social hazard as well. It affects one’s regular life with sleep problems, chronic body or back pain, osteoporosis and much more. An obese person will have difficulty in climbing stairs, have limited mobility and this will restrict their ability to exercise as well.
Obesity has emotional and mental repercussions as well. It causes a person to lose confidence in themselves, always thinking of themselves as not good enough. It can lead to depression and anxiety due to isolation.
Obesity also affects one’s fertility. Women who are overweight and obese have difficulty in getting pregnant and men who are obese, may not be able to produce healthy sperm for reproduction.
Obese people are not ‘obese’ by choice. While one of the reasons for being overweight and obese, is overeating, there are many factors involved.
Poor diet and food choices coupled with lack of physical exercise, social, cultural and even genetics, may lead to obesity.
Particular medications or medical issues can also make an individual obese.
Obesity needs to be more than only losing the excess weight. It requires a multi-faceted approach, making serious changes in one’s lifestyle, food habits and activities.
People need to work on their information on Obesity. They need to understand the health risks, complications and associated diseases with the condition.</p>",Pharmeasy,Blogs/14.png
15,Authentic SelfCare,"<p>Authentic self-care is for everyone. It’s what we all need and deserve, but it can be hard because it’s not a quick fix. Ironically, neither is our own inner journey, or something as lofty as social justice work. Seen this way, wellness is one aspect of social justice, and like social justice, wellness doesn’t happen overnight.</p>

<p>This is another reason that self-care has gotten such a bad name: It is much easier to practice “self-care” in easy ways that feel good right now than it is to develop the discipline of a healthy lifestyle that often sucks in the moment but feels really great later. Authentic self-care is not self-indulgence. Self-indulgence is unrestrained gratification of our desires and whims, behaviors meant only to alter our mood and provide a m temporary escape from pain and grief.</p>

<p>How can we tell the difference between self-indulgence and true acts of self-care? First, ask if what you’re doing is a temporary quick fix or something that is meant to yield long-term benefits. Sometimes, self-care is best expressed by setting limits in ways that prioritize what’s most important. This takes discipline. Some everyday examples might include watching only one episode of a TV show, not bingeing a whole season, so you get to bed at a decent hour and experience a full night’s rest. It might be not having a glass of wine with dinner, or only having one; saying no when you don’t want to do some- thing; or waking up early so you have extra time to meditate, journal, or exercise before work.</p>

<p>The morning when I wrote my own self-care list, which was my response to true despair and a will to survive, I felt an instinctual inner knowing that I had to give up most of my vices in order to truly dedicate myself to self-care, to my healing, and to my overall wellness. If the work we do in the world is larger than ourselves—and for me at that moment being a mother to my son was just that—then self- care means defining clear boundaries that help ensure our long-term physical, mental, and spiritual health. But I didn’t give up all my vices. I knew there were healthy indulgences I could still enjoy, ones that provided important moments of joy and happiness. For me, these were defined by even the smallest of actions that helped me restore balance during one of the most imbalanced periods in my life. This included things like spending an evening reading a good book with a mud mask on my face, shutting down my phone and not respond- ing to texts or emails for a few hours of solitude, and having a meal with a friend while engaging in meaningful conversation. I didn’t consider any of these things frivolous.</p>

<p>My point is this: Self-care is not one-size-fits-all. We each must decide what’s right for ourselves. The biggest challenge I needed to overcome was the guilt and ingrained belief that taking any time for myself was selfish. In the end, what I learned from this experience is that tending to myself is a way to reaffirm that I value myself, and because I do, I must also honor myself. Taking that time to reaffirm in writing that “I am not broken” set me on my path and positioned me front and center as my own cheer- leader and self-advocate. Yet I can also proclaim irrefutably that authentic self-care is a truly selfless act—one that made me into a healthier being, a more engaged mother, and eventually, an impassioned self-care activist.</p>", SHELLY TYGIELSKI,Blogs/15.jpg
16,Break a Habit with Neuroscience,"<p>
I’ve been struggling with my habits—trying to break some unhealthy ones, and make some healthier ones. I need some help staying the course though—why is this so hard?</p>

<p>
Let’s look at how the mind actually works when it comes to forming (and maintaining) habits. They have a simple, consistent formula: there’s a trigger, there’s an accompanying behavior, and there’s a result or reward.Being in habit mode is like being on autopilot. So, first gear is recognizing what our habits are. Paying attention is second gear—exploring and understanding the rewards that come from our behaviors.If we’re constantly checking our phones, for instance, we might compare the rewards of that behavior to how our live interactions with people feel. When we notice how our phones can pull our attention away from where we actually are, we might also notice that the reward value of checking our phones (say, every five minutes) diminishes further.
This is where mindfulness can help. So, what feels better? Responding to my phone? Or staying with the conversation I’m already in with this person sitting across from me?Once we start to examine relative rewards, we naturally begin to recalibrate and change our behavior. And it’s not from forcing ourselves to change. It emerges from bringing kind, curious awareness to what we’re experiencing to alter our relationship to these all-too-human experiences.</p>", JUDSON BREWER,Blogs/16.png
17,Mediatate for good living,"<p>When we’re under pressure, our ability to care and to lead can feel compromised. Mindfulness can provide a path to cultivate the focus and determination of grit and the care and calm of grace, to learn from growth and change. In this practice to arrive, breathe, and connect, Dr. Lili Powell, a professor at UVA Darden School of Business, offers space to fully arrive in the present moment and make a commitment to focusing on being right here, right now.</p>

<p>Get into what for you is an alert yet relaxed position. You may need to adjust your posture a bit to settle into your chair. Put your feet flat on the floor, put your bottom way back in the seat of your chair, and then sit up nice and tall. You can relax your hands, placing the palms down on top of your thighs. And then very slowly lower your gaze or, if you feel comfortable, close your eyes.</p>
<p>Take a moment to fully arrive in the present moment. You may be at work or doing something else right now, so I invite you to take a moment to put that aside. Of course, if you’re driving, it might be nice to pull over for a little bit. In any case, just take this moment to fully arrive, giving yourself the gift of a moment of focus and clarity. Letting go of your to-do list. Letting go of whatever comes next. You’re making a clear-eyed commitment to be right here, right now.</p> 
<p>Scan through your own body, checking in and feeling the temperature, so to speak. And you may note whether you feel especially grounded right now, perhaps ungrounded or underground. You don’t have to change anything about that right now, just simply notice.</p>
<p>Now shift your attention inward to your body breathing. Notice inhalations and exhalations wherever they feel most prominent to you. You may feel this most at the tip of your nostrils, where cool air enters the nose and warm breath leaves the mouth. Or you may feel a whole breath that travels from your nose to your throat, into your chest, and down into your belly. </p>
<p>Connect to a few physical sensations. Notice the ones that we can associate with the kinds of energies that we want to work with when showing up with grit and grace. So with your mind’s eye, begin to trace your spine from the tailbone up through the lower back, upper back, back of the neck, and into the crown of the head. And with this, feel the length of your spine. You may even feel as though you’re growing slightly, offering a little more space between the vertebrae and the spine. Allow your head to sit in a balanced way atop of the spine.</p>
<p>As you feel into the length of your spine, note the way that this feels like dignity; a grounded and balanced posture. And then bring your mind’s eye to your back and notice the width of your back. Notice the space from one shoulder to the other, from one underarm to the other. You may even breathe more deeply into the back of the rib cage to access this area. And with your width, feel into your strength. Associating this expanse of the body with strength and grit, focus, and determination. </p>
<p>Now, shift your attention to the front of the chest, right at the breastbone. Your mind’s eye may at first see just a small spot. See if you can focus on the space around that spot; taking in the whole chest. Feel into your heart beating below the breastbone and feel into your warmth. Feel into the energy that is calm and caring and inviting. And, let’s call that your grace. </p>
<p>Once again, notice the length of your spine and the feeling of dignity. Notice the breadth of your back, your strength, and your grit. Notice the warmth in the front of your chest, the heart, and your grace. And allow these three sensations to be in conversation with one another: Dignity, Grit, Grace. 
Take a few deep breaths. Bring a few small movements back to your fingers and toes. If your eyes have been closed, open them. If your eyes have been lowered, you may begin to raise your gaze.</p>", LILI POWELL,Blogs/17.jpg
18,Plate Method,"<p>Previous national food guides, such as Canada's 2007 Food Guide, included target servings of certain foods and specific portion sizes in order to help individuals meet their daily nutrient requirements. While this method can be helpful in certain contexts, for some it can be overwhelming tracking specific numbers. So how can we ensure our meals are nutritionally balanced without tracking numbers? Cue the plate method: an enjoyable way to build nourishing meals. </p>

<p>The plate method was derived from selected national food guidelines including Canada's Updated Food Guide and USA's MyPlate with a few modifications to adapt it for those following a plant-based lifestyle. These guides have been studied and reviewed by experts in the field who have agreed that generally, these proportions meet the general population's estimated macronutrient and micronutrient needs.</p>

<p>The method-
The plate method is a simple visual guide that illustrates the general proportion of each plant-based food group that's needed in order to ensure adequate nutrition. If we regularly include all components of the plate method into meals and rotate the types of foods in each category for variety, we are likely to achieve enough macronutrients (carbohydrates, protein and fat) and micronutrients (vitamins and minerals) for optimal health and well-being. It takes the numbers, the tracking, the servings of this and the servings of that out of the equation so that the planning and plating of meals become more effortless. The model takes the shape of a plate, but in reality translates into any type of meal being put together whether it's on a plate, in a bowl, in a sandwich, roll, or wrap.</p>

<p>The philosophy-
The purpose of the plate method is not to meticulously organize our food in an exact orientation, or become hyper-focused on specific fractions for all of our meals, every day. It's designed to be adaptable based on foods that are accessible and enjoyable to each individual. The aim is to include as many of the food groups as is possible for the majority of meals while recognizing that some meals simply won't align with the plate method, and that's ok. If we allow ourselves to be flexible with the method, it makes it more practical and realistic. In this way, we are more likely to stick to it in the long term.  </p>

<p>You may notice that portion sizes are not depicted in the plate method. This is because there is a degree of person-to-person and day-to-day variability that is difficult to represent. The plate method is designed to capture a wide range of nutrients necessary for the majority of the general, healthy population. However, how much we need of these nutrients will vary person-to-person depending on factors including sex, age, weight, and body composition. In addition, each individual's needs may vary day-to-day depending on factors including hunger levels, physical activity, and disease states.</p>",Pickup Limes,Blogs/18.png
19,Recover from Knee Injury,"<p>A major knee injury can be quite debilitating. It may be difficult to move your weight around or perform basic tasks if you’re injured. You may also experience pain and swelling. And if you have a knee injury, you might need surgery.But don’t worry. There are many ways to recover from a major knee injury.</p>


<p>
1. Know the Severity of the Injury
There is a wide range of severity of knee injuries. Someone with a minor knee injury may have a mild ache that goes away after the injury heals.The person may have some swelling, but it doesn’t interfere with their daily life. The other extreme is that someone who has a major knee injury may be unable to walk or stand.They will likely have severe pain and swelling, as well as difficulty moving their weight around.This can make it difficult to perform daily tasks, such as getting dressed or sitting down at a desk. They should contact a health professional if needed.</p>

<p>2. Review Your Activity
To help you recover from a major knee injury, you need to take it easy for some time. You will likely need to take it slow and easy initially as you regain strength in your injured leg.This means that you should avoid activities that involve a lot of weight on your knee. Examples of activities that are good choices include walking and light jogging.When you exercise, you want to make sure that you are doing something, not putting a lot of stress on your knee. For example, don’t do squats, lunges, or any jumping.</p>

<p>3. Visit a Physical Therapist
If you have a knee injury, it’s important to see a physical therapist specializing in treating injuries. Physical therapy for knees and joints can be effective in helping you recover from a knee injury.The physical therapist can help you learn how to perform exercises that will strengthen the muscles in your leg. They can also show you how to do exercises that will help protect your knee when doing activities that put stress on it.</p>

<p>4. Use the RICE Method
The RICE method is a series of steps that you should follow if you have a knee injury. It would be best to start by resting for at least two to four weeks after your injury.You can take it easy and avoid any activities that involve putting stress on your knee.However, if you are an athlete, you need to continue exercising during this period.</p>

<p>5. Apply Ice on the Injured Knee
Ice is one of the first things people use when they have a knee injury. Ice is applied to the injured area to reduce swelling and pain.However, you should not apply ice to your knee for too long or too often. After the first couple of days, it’s best to only use ice on your knee for a few minutes at a time.If you continue using too much ice on your knee, it can cause swelling and discomfort in your knee joint.</p>

<p>6. Take Regular Physical Exams
Physical exams are very important for people who have knee injuries. You should have a physical exam at least once a year.This is important because you can catch any changes in your knee that may result from the injury. You will also be able to see any other injuries you may have sustained.If there are any other injuries, you should see your doctor right away.</p>

<p>7. Maintain Your Knee Cap
You need to maintain your knee cap as much as possible during your recovery period. This is because the knee cap protects your knee joint from damage and injury.The best way to do this is by taking care of your knee cap by using the right type of creams and ointments on it when necessary. You can also have a physical exam done on your knee cap to ensure it is in good condition.</p>

<p>In conclusion, many types of knee injuries can occur, and you need to know what to do when you suffer from one. If you have suffered from a knee injury, you should be able to treat it by yourself with the help of a specialist.However, if you are still unsure about your condition and how to treat it, you should seek professional help. Your specialist will give you the right advice and treatment that you need to recover from your injury.</p>",Taylor Haskings,Blogs/19.jpg
20,Mindful Movement,"<p>The principles of mindful movement are the same as any other mindfulness practice. We aim to bring our full attention to the present moment to experience the here and now. We bring our awareness to our movement and focus on our breath or the way our body feels as it moves. When our mind wanders, we bring our attention back to the practice, to our breath, to our body.</p>

<p>4 Types of Mindful Movement
Breathing exercises are different from when we observe our breath at rest during seated meditation. Instead, we connect with our body by purposefully elongating our breaths to calm our parasympathetic nervous system, or shorten our breaths for short periods of time to refresh and refocus. 
A walking meditation can be a simple and effective way to explore mindful movement. The biggest difference between a walking meditation and going for a walk as we usually would is that when we’re practicing meditation, we aren’t aiming to go anywhere. Instead, we walk slowly and try to bring our full awareness to the act of walking. That can look like focusing on our breath, or feeling the ground beneath our feet as one step turns into the next. When our mind wanders, we bring it back to the sensations of the moment.
Stretching and yoga can help us release tension, stiffness, and heavy emotions. When  our bodies don’t move, they don’t feel good, and neither do our minds. Taking a moment to let go of the day’s distractions, getting away from the desk or couch, and engaging in gentle movement can help us boost our energy, focus, and resilience.
If you’re looking to blow off steam, working out is another opportunity for mindfulness. Getting exercise can be a great way to tune in to our body, synchronize our breath, and be in the moment, all while building strength and nourishing our muscles.</p>

<p>Mindful movement helps us nourish our body by stretching, strengthening and toning, or even just by paying attention and bringing awareness to how our body feels. But we can also use movement to elevate our emotional wellness. When we move our body and adjust the postures in which we hold our body, we also shift the activity of our autonomic nervous system which influences reactions like our heart rate, blood pressure, and fight-or-flight response. This means that mindful movement can give us access to shift our emotions and moods from the outside-in. </p>

<p>Any activity can work for mindful meditation, and you can find anchors for your attention in the motions: Maybe it’s the point when your right hand enters the water while you swim, or the contact of your feet on the pavement as you run. Weight lifters might use the up-and-down repetition of a barbell. Or, you could stick with the one anchor that is always available to you: your breath. Notice as it quickens or slows, and return to it whenever you find your mind drifting to a thought about that text message you forgot to answer, or the milk you accidentally left on the countertop.</p>",MindfulGreen,Blogs/20.jpg
21,A Guide to Sugar,"<p>Sugar is a sneaky little ingredient that's in a considerable amount of foods in many different forms. Despite its delicious and innocent taste, sugar has addictive properties and is linked to a variety of preventable health conditions. Although it's easy to label all sugar as ""bad"", there are types that, when eaten in moderation, may have nutritional benefits.</p>

<p>Types of sugars-
Sugar is a type of carbohydrate found in both food and beverages. Once eaten, sugar is broken down into what's called glucose which is ultimately used for energy. Let's break it down some more with the most common types and examples:Monosaccharides: glucose, galactose, fructose .Disaccharides: sucrose, lactose, maltose.Oligosaccharides: maltodextrin, raffinose.Polyols (sugar alcohols): sorbitol, mannitol, xylitol</p>

<p>Natural vs. added sugars ......
Natural sugars are sugars that are naturally found in foods. These sugars are often found in foods such as fruit, potatoes, yams, and cow's milk.

Added sugars are sugars that are added to foods during processing. These sugars are usually added for preservation, texture, mouthfeel, and taste. Added sugars are often found in foods such as soda/pop beverages, sweetened coffee or tea, cocktails, energy or sports beverages, fruit juice, store-bought cereals, soups, salad dressings, oatmeal, candies, baked goods, ice cream, and pudding. Limiting our intake of added sugars is generally recommended for overall health. 
</p>
<p>
Liquid sweeteners such as maple syrup, blackstrap molasses, agave syrup, and corn syrup are all considered to be sugars too. They contain about the same amount of calories as white sugar and are generally broken down in the same way. Some have trace minerals in very small amounts. Here at PUL, we love to use these sweeteners for their wonderful flavours and consistencies in particular recipes. It's still generally best to still consume them in moderation though.

Coconut sugar-
Coconut sugar is known to have a small trace amount of minerals, but it's nutritionally identical to white granulated sugar. With that being said, it's best to consume coconut sugar at the same level of moderation.

Effects of excess added sugars-
Consuming excess added sugars can contribute to the development of several health effects. Fatigue, weight gain, dental cavities, type 2 diabetes, hypertension, and heart disease have all been linked to excessive intake of sugars.</p>

<p>Artificial Sweeteners-
Artificial sweeteners are sugar substitutes that are zero- or low-calorie alternatives to the sugar options mentioned above. Due to this, companies market their products as ""sugar-free"", ""diet"" or ""no calories"". They're found in many diabetic products because they have little or no effect on blood sugar levels. Some can be made from natural leaf extracts, and some are manufactured. Most artificial sweeteners are also remarkably sweeter when compared to table sugar. This means that smaller amounts can be used to create the same sweetness level. Some examples of artificial sweeteners include acesulfame potassium, aspartame, cyclamate, neotame, saccharin, stevia or steviol, and sucralose.</p>

<p>Considerations with artificial sweeteners-
Conflicting evidence: according to recent high-quality research, artificial sweeteners haven't been linked to health outcomes such as diabetes, kidney disease, high blood pressure, certain cancers or dental health. According to other analyses though, they have been associated with increased BMI and other complications. In short, there are biases and limitations to the studies conducted so far and more research is needed.

Artificial sweeteners as a ""free-pass"": when people consciously know they're having artificial sweeteners with no calories, they may mentally feel able to compensate with something that does have sugar later on. Others may contain them in excess due to the ""low calorie"" or ""no calorie"" label. 

Potential gastrointestinal intolerances: some artificial sweeteners include sugar alcohols, which if consumed in large amounts (say, in a beverage) can have a laxative effect.
</p>

<p>Effects on the brain: consuming artificial sweeteners lights up similar regions of the brain in terms of satisfaction as with all other types of sugar. With this in mind, artificial sweeteners may not actually help curb sugar cravings from the root because we still tend to crave something sweet. In fact, one study suggests that we use sweet taste to predict the calories in a particular food. When our bodies receive these non-caloric sweeteners instead, it realizes the discrepancy and continues to crave, and can potentially eat even more.</p>",PickUp Limes,Blogs/21.jpg
22,Corona Virus Disease,"<p>Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus.</p>

<p>Most people infected with the virus will experience mild to moderate respiratory illness and recover without requiring special treatment. However, some will become seriously ill and require medical attention. Older people and those with underlying medical conditions like cardiovascular disease, diabetes, chronic respiratory disease, or cancer are more likely to develop serious illness. Anyone can get sick with COVID-19 and become seriously ill or die at any age. </p>

<p>The best way to prevent and slow down transmission is to be well informed about the disease and how the virus spreads. Protect yourself and others from infection by staying at least 1 metre apart from others, wearing a properly fitted mask, and washing your hands or using an alcohol-based rub frequently. Get vaccinated when it’s your turn and follow local guidance.</p>

<p>The virus can spread from an infected person’s mouth or nose in small liquid particles when they cough, sneeze, speak, sing or breathe. These particles range from larger respiratory droplets to smaller aerosols. It is important to practice respiratory etiquette, for example by coughing into a flexed elbow, and to stay home and self-isolate until you recover if you feel unwell.</p>",WHO,Blogs/22.jpg
